heoi3 | to go
bin1 dou6 | where
aa3? | interrogative particle
m4 goi1 | please (to request something)
hai2 | to be at/in/on
ni1 dou6 | here
go2 dou6 | there
Hoeng1 Gong2 Dou2 | Hong Kong Island
Gwok3 Zai3 | international
gei1 coeng4 | airport
Gau2 Lung4 | Kowloon
daai6 luk6 | mainland
Zung1 Gwok3 daai6 luk6 | Chinese mainland
ngo5 dei6 | we
ji4 gaa1 | now
nei5 hai2 ni1 dou6 | you are here
ngo5 dei6 | we 
nei5 dei6 | you -- plural
keoi5 dei6 | they/them
ngo5 dei6 ji4 gaa1 hai2 bin1 dou6 aa3? |  Where are we now?
nei5 dei6 heoi3 bin1 dou6 aa3? | where are we going?
keoi5 dei6 hai6 ngo5 ge3 pang4 jau5 | they are my friends
ni1 dou6 | here
go2 dou6 | there
bin1 dou6 | where
ni1 dou6 hai6 Gau2 Lung4 | here is Kowloon
go2 dou6 hai6 Zung1 Gwok3 daai6 luk6 | There is mainland China
ngo5 dei6 ji4 gaa1 hai2 bin1 dou6 aa3? | where are we now?
(nei5) heoi3 bin1 dou6 aa3? | where do you want to go? 
m4 goi1, heoi3 Hoeng1 Gong2 Daai6 Hok6 | Please, go to the University of Hong Kong
m4 goi1, heoi3 ni1 dou6 | Please, go here (indicate where)
Hoeng1 Gong2 Daai6 Hok6 hai2 bin1 dou6 aa3? | Where is the University of Hong Kong?
sai2 sau2 gaan1 hai2 bin1 dou6 aa3? | Where is the washroom?
ngo5 ge3 uk1 kei2 hai2  Zim1 Saa1 Zeoi2 | My home is at sim Sha Tsui
sai2 sau2 gaan1 hai2 go2 dou6 | the washroom is there
dik1 si2 hai2 bin1 dou6 aa3? | where is the taxi?
Soeng6 Wann4 | Sheung Wan
Zung1 Waan4 | Central
Gam1 Zung1 | Admiralty
Waan1 Zai2 | Wan Chai
Tung4 Lo4 Waan1 | Causeway Bay
Zim1 Saa1 Zeoi2 | Tsim Sha Tsui
Hung4 Ham3 | Hung Hom
Jau4 Maa4 Dei2 | Yau Ma Tei
Wong6 Gok3 | Mong Kok
