zyu6 | to live
hai2 | at/in/on a place
lau4 hok6 saang1 | foreign student
suk1 se3 | hostel/dormitory
si1 gei1 | driver
cin4 min6 | in front/ahead
ting4 ce1 | to stop
hou2 | very
leng3 | beautiful
aa3 | particle to confirmation
m4 goi1 | excuse me (draw attention)
san1 | new
lei4 | to come
san1 lei4 ge3 | just arrived/newcomer
soeng2 | want to/ would like do something
jiu3 | to want, would like (something)
fong2 | room
so2 si4 | key
hou6 | number
gei2 do1 | what/how many/how much
gei2 do1 hou6 | what number
hou2 aak3 | fine/ok
cim1 meng2 | to sign / signature
nei5 ge3 fong3 gei2 do1 hou6 aa3? | what number is your room?
nei5 ge3 baan6 gung1 sat1 gei2 do1 hou6 aa3? | What number is your office?
nei5 ge3 din6 waa2 hou6 maa6 gei2 do1 hou6 aa3? | What is your phone number?
nei5 ge3 san1 fan2 zing3 gei2 do1 hou6 aa3? | What is your ID card number?
nei5 zyu6 hai2 bin1 dou6 aa3? | Where do you live?
ngo5 zyu6 hai2 lau4 hok6 saang1 suk1 se3 | I live in the hostel for foreign student
ngo5 ge3 pang4 jau5 zyu6 hai2 bin1 dou6 aa3? | Where do my friend live?
ngo5 ge3 pang4 jau5 zyu6 hai2 Zung1 Waan4  | My friend lives at Central
m4 goi1 nei5 hai2 cin4 min6 ting4 ce1 laa1 | Please stop ahead
nei5 hai2 ni1 dou6 cim1 meng2 laa1 | Please sign here
ngo5 hai2 daai6 hok6 duk6 syu1 | I study at university
ngo5 hai2 caan1 teng1 sik6 faan6 | I have a meal at restourant
ni1 dou6 hou2 leng3 aa3! | It's very nice here!
Hoeng1 Gong2 hou2 sai3 aa3 | Hong Kong is very small
Zung1 Gwok3 hou2 daai6 aa3 | Chnia is very big
lau4 hok6 saang1 suk1 se3 hou2 gau6 aa3 | Hostel for foreign students is very old
nei5 ge3 fong2 hou2 san1 aa3 | Your room is very new
ngo5 ge3 lou5 si1 hou2 hou2 aa3  | My teacher is very good
ngo5 soeng2 jiu3 ngo5 ge3 fong2 ge3 so2 si4 | I'd like to have the key of my room
keoi5 soeng2 jiu3 caa4 | he would like to have tea
keoi5 dei6 soeng2 jiu3 caa1 | they would like to have caa1
ngo5 ge3 pang4 jau5 soeng2 jiu3 dei6 tou4 | My friend would like to have a map
jap6 lei4 laa1 | Come in!
co5 laa1 | Sit!
giu3 ngo5 Amy | call me Amy!
zau2 dim3 | hotel
juk6 sat1 | bathroom
sai2 sau2 gaan1 | washroom/toilet
cyu4 fong2 | kitchen
haak3 teng1 | living room
faan6 teng1 | dining room
seoi6 fong2 | bedroom
soeng1 jan4 fong2 | double room
daan1 jan4 fong2 | single room
syu1 fong2 | study room
zaap6 mat6 fong2 | storeroom
lou6 toi4 | balcony
zau2 long2 | corridor
cin4 mun2 | front door
hau6 mun2 | back door
sing1 gong3 gei1 | lift/elevator
laap6 saap3 fong4 | garbage room
sai2 ji1 fong4 | laundry room
ce1 fong4 | garage
