jau5 | to have, to possess
mou5 | to not have, have not
jau5 mou5 <object> aa3? | Have you got ... ?
Gong2 Bai6 | Hong Kong dollars
zing6 hai6 | only
Mei5 Gam1 | US dollars
tung4 | and 
seon3 jung6 kaat1 | credit card
wun6 | to change/exchange/convert
jat1 di1 | some, small quantity
cin2 | money
gei2 do1 cin2 | how much (money)
baak3 | hundred
man1 | dollars
man6 tai4 | question/problem/trouble
mou5 man6 tai4 | no problem
naa4 | here it is
m4 goi1 | thank you
wu6 ziu3 | passport
cim1 zing3 | VISA
seon3 jung6 kaat1 | credit card
sou3 geoi3 sim1 kaat1 | Data SIM card
sau2 tai4 din6 waa2 | mobile phone
Hoeng1 Gong2 san1 fan2 zing3 | HKID card
baat3 daat6 tung1 kaat1 | Octopus card
cin2 | money
ngo5 zing6 hai6 jau5 Mei5 Gam1 | I only have US dollars
ngo5 dei6 jau5 so2 si4 | We have the key
Amy jau5 seon3 jung6 kaat1 | Amy has a credit card
ngo5 mou5 Gong2 Bai6 | I haven't got any HK dollars
keoi5 mou5 cin2 | he doesn't have money
Amy mou5 naam4 pang4 jau5 | Amy doesn't have a boyfriend
Peter mou5 neoi5 pang4 jau5 | Peter doesn't have a girlfriend
nei5 jau5 mou5 Gong2 Bai6 aa3? | Do you have any HK dollars?
keoi5 jau5 mou5 pang4 jau5 aa3? | Does he have friends?
keoi5 dei6 jau5 mou5 sau2 tai4 din6 waa2 aa3? | Do they have a mobile phone?
ngo5 zing6 hai6 jau5 Mei5 Gam1 tung4 seon3 jung6 kaat1 | I only have US dollars and a credit card
ngo5 jau5 gaa3 fe1 tung4 caa4 | I have coffee and tea
ngo5 jau5 Mei5 Gam1 tung4 Gong2 Bai6 | I have US dollars and HK dollars
ngo5 jau5 cin2 tung4 dei6 tou4 | I have money and map
ngo5 soeng2 wun6 jat1 di1 Gong2 Bai6 | I would like to change for some Hong Kong dollars
ngo5 soeng2 jiu3 ge3 fong2 ge3 so2 si4 | I want to have the key of my room
ngo5 ge3 baa4 baa1 soeng2 heoi3 Zung1 Gwok3 | My father want to go to China
ngo5 ge3 maa4 maa1 soeng2 lei4 Hoeng1 Gong2 | My mother want to come to Hong Kong
keoi5 dei6 soeng2 zyu6 zau2 dim3 | They want to live in a hotel
ngo5 soeng2 jiu3 sai2 sau2 gaan1 ge3 so2 si4 | I want to have the key of the washroom
nei5 soeng2 wun6 gei2 do1 cin2 aa3 ? | How much would you like to change?
gei2 do1 cin2 aa3? | How much money?
gei2 do1 jan4 aa3? | How many people?
gei2 do1 seoi3 aa3? | How many years old?
nei5 jau5 gei2 do1 cin2 aa3? | How much money do you have?
Hoeng1 Gong2 jau5 gei2 do1 jan4 aa3? | How many people are in Hong Kong?
Amy gei2 do1 seoi2 aa3? | How old is Amy?
