Zung1 Gwok3 pang4 jau5 | a Chinese friend
wai2 | measure word for a person and a way to show respect
zung1 ji1 | doctor of chinese medicine
hok6 jyun2 | college / faculty
gong2 | to speak / to talk
Pou2 Tung1 Waa2 | Mandarine/Putonghua
dou1 | also/too
Jing1 Man2 | English (written)
bat1 gwo3 | but/however
naam4 pang4 jau5 | boyfriend
gaau3 | to teach
hok6 | to learn/to study
zung1 ji3 | to like
si4 si4 | always/often
tung4 | with (someone or something)
jat1 cai4 | (do something) together
lin6 zaap6 | to practice
Amy hai6 jat1 wai2 zung1 ji1 | Amy is a doctor of chinese medicine
keoi5 hai2 Hoeng1 Gong2 Zung1 Ji1 Hok6 Jyun2 zou6 je5 | She works in the Hong Kong College of Chinese Medicine
ngo5 hai6 gaau3 sau6 | I am a professor
nei5 hai6 ji1 sang1 | You are a doctor
keoi5 hai6 leot6 si1 | he is a lawyer
ngo5 dei6 hai6 sau6 fo3 jyun4 | We are salesperson
ngo5 hai2 daai6 hok6 zou6 je5 | I wrk at university
nei5 hai2 ji1 jyun2 zou6 je5 | you work at hospital
keoi5 hai2 leot6 si1 lau4 zou6 je5 | he work at department store
keoi5 gaau3 aa3 Amy Jing1 Man2 | he teach Amy english
lou5 si1 gaau3 ngo5 dei6 gong2 Zung1 Man2 | the teacher teach us to speak chinese
baa4 baa1 gaau3 mui4 mui2 jau4 seoi2 | father teach young sister to swim
maa4 maa1 gaau3 ze4 ze1 zyu2 faan6 | mother teach elder sister to cook
go4 go1 gaau3 dai4 dai2 zaa1 ce1 | elder brother teach younger brother to drive
keoi5 sik1 gong2 Pou2 Tung1 Waa2 | she know how to speak Mandarine
keoi5 dou1 sik1 gong2 siu2 siu2 Jing1 Man2 | she also know how to speak a bit of english
Amy hai6 Tony ge3 neoi5 pang4 jau5 | Amy is Tony's girlfriend
keoi5 dou1 hai6 Tony ge3 Gwong2 Dung1 Waa2 lou5 si1 | She is also Tony's cantonese teacher
ngo5 sik1 gong2 Jat6 Man2 | I speak Japanese
ngo5 dou1 sik1 gong2 Hon4 Man2 | I also speak korean
nei5 sik1 gong2 Faat3 Man2 | you speak french
nei5 dou1 sik1 gong2 Dak1 Man2 | you also speak german
keoi5 sik1 gong2 Sai1 Baan1 Ngaa4 Man2 | he speak spanigsh
keoi5 dou1 sik1 gong2 Taai3 Man2 | he also speak thai
Amy hai6 Peter ge3 pang4 jau5 | Amy is Peter's friend
Tony dou1 hai6 Amy ge3 pang4 jau5 | Tony is alos Amy's friend
Jing1 Gwok3 jan4 gong2 Jing1 Man2 | the british speak english
Mai5 Gwok3 han4 dou1 gong2 Jing1 Man2 | americans also speak english
Tony hok6 Gwong2 Dung1 Waa2 | Tony learn cantonese
Si2 siu2 ze2 gaau3 Jing1 Man2 | Miss Si teach english
keoi5 soeng2 jiu3 gaa3 fe1 | he want to have a coffee
Tony doou1 hok6 Gwong2 Dung1 Waa2 | Tony also learn cantonese
