gei2 si4 | when / at what time
jyut6 | months of the year
hou6 | day of the month
leot6 si1 | lawyer
leot6 si1 lau4 | law firm
mong4 | busy
dak1 haan4 | have free time / free (in time)
sing1 kei4 | day of the week
sing1 kei4 jat1 | Monday
sing1 kei4 ng5 | Friday
zi3 | until / to (an ending point)
dou1 | all / all-inclusive
faan1 gung1 | to go to work / to go to duty
zau1 mut6 | weekend
m4 sai2 | no need
zou6 | to do / to work / to engage in
zou6 mat1 je5 | do what?
jing2 soeng2 | to take photos
lek1 | smart / sharp / clever
wo3 | final particle for surprise
do1 ze6 | thank you (for a compliment)
maa4 maa2 dei2 | so-so
gan2 | progressive tens
gei2 si4 | what specific day or time?
nei5 gei2 si4 lei4 Hoeng1 Gong2 gaa3? | When did you come to HK?
ngo5 gam1 nin4 gau2 jyut6 jat1 hou6 lei4 Hoeng1 Gong2 ge3
Amy, gei2 si4 hok6 Gwong2 Dung1 Waa2 aa3? | Amy, when did you learn Cantonese?
Amy zau1 mut6 hok6 Gwong2 Dung1 Waa2 | Amy on weekend learn Cantonese
Amy, gei2 si4 duk6 daai6 hok6 aa3? | Amy, when did you go to university?
Amy gau6 nin2 duk6 daai6 hok6 | Amy last year went to university
Amy, gei2 si4 dak1 haan4 aa3? | Amy, when do you have free time?
Amy ting1 jat6 dak1 haan4 | Amy tomorrow has free time
Amy, gei2 si4 tung4 ngo5 sik6 faan6 aa3? | Amy, when you have meal with me?
Amy gam1 maan5 tung4 ngo5 sik6 faan6 | Amy tonight has meal with me
